[BOUNCE] ball1 f24 dist=246.6 seg=159 gap=0 pen=0.6 vel=(-5.4,4.2) nx=-0.94 ny=0.35
sketch.js:200 [NaN-UPDATE] ball1 f103 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f103 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f104 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f104 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f104 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f105 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f105 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f105 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f106 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f106 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f106 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f107 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f107 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f107 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
